Feature	Variable Importance
FOXP1_MA0481.1	2.31E-05
RORA_MA0071.1	2.31E-05
JUNB_MA0490.1	2.26E-05
FOXA1_MA0148.3	2.23E-05
FOSL2_MA0478.1	2.22E-05
KLF9_MA1107.1	2.21E-05
DUX4_MA0468.1	2.15E-05
JUND_MA0491.1	2.10E-05
DUXA_MA0884.1	2.09E-05
POU2F1_MA0785.1	2.08E-05
NR4A1_MA1112.1	2.08E-05
TCF7L2_MA0523.1	2.05E-05
PROP1_MA0715.1	2.05E-05
NFKB1_MA0105.1	2.05E-05
FOSL1::JUNB_MA1137.1	2.03E-05
MYC_MA0147.3	2.03E-05
SP8_MA0747.1	1.98E-05
FOXP1_MA0481.2	1.93E-05
RORC_MA1151.1	1.88E-05
FOXI1_MA0042.2	1.86E-05
TFAP2B_MA0811.1	1.86E-05
INSM1_MA0155.1	1.80E-05
TEAD2_MA1121.1	1.76E-05
FOSL2::JUND_MA1144.1	1.74E-05
TFAP2C_MA0524.2	1.74E-05
ESRRA_MA0592.1	1.74E-05
TFAP2B(var.2)_MA0812.1	1.73E-05
USF1_MA0093.2	1.70E-05
BATF::JUN_MA0462.1	1.69E-05
FOXD1_MA0031.1	1.56E-05
BHLHE40_MA0464.2	1.54E-05
ETV6_MA0645.1	1.51E-05
JUN(var.2)_MA0489.1	1.48E-05
ELF5_MA0136.2	1.48E-05
FOS::JUNB_MA1134.1	1.42E-05
MYCN_MA0104.4	1.42E-05
HOXD11_MA0908.1	1.37E-05
MAX_MA0058.1	1.36E-05
CEBPE_MA0837.1	1.35E-05
TFDP1_MA1122.1	1.33E-05
TFE3_MA0831.1	1.31E-05
MXI1_MA1108.1	1.28E-05
OLIG2_MA0678.1	1.28E-05
TAL1::TCF3_MA0091.1	1.26E-05
TFAP2C.var.3._MA0815.1	1.26E-05
EGR1_MA0162.2	1.25E-05
MAX_MA0058.3	1.25E-05
NFKB1_MA0105.3	1.24E-05
GMEB2_MA0862.1	1.20E-05
FOSB::JUNB_MA1135.1	1.16E-05
GATA2_MA0036.2	1.13E-05
HNF4G_MA0484.1	1.10E-05
TFEC_MA0871.1	1.07E-05
CUX2_MA0755.1	1.07E-05
FOSL1::JUN_MA1128.1	1.05E-05
MEF2C_MA0497.1	1.03E-05
TFAP2A.var.3._MA0872.1	1.03E-05
FOS::JUN_MA0099.3	1.03E-05
HEY1_MA0823.1	1.00E-05
OLIG1_MA0826.1	9.65E-06
TBR1_MA0802.1	9.58E-06
RAD21	9.52E-06
NEUROG2_MA0669.1	9.37E-06
FOSL2::JUN_MA1130.1	9.01E-06
PBX2_MA1113.1	8.96E-06
ETV5_MA0765.1	8.84E-06
POU3F2_MA0787.1	8.75E-06
TFAP4_MA0691.1	8.75E-06
FOXO3_MA0157.2	8.64E-06
E2F1_MA0024.1	8.60E-06
TFAP2B.var.3._MA0813.1	8.25E-06
RELA_MA0107.1	8.05E-06
NR2F1_MA0017.2	7.93E-06
YY1_MA0095.2	7.55E-06
IRF1_MA0050.1	7.40E-06
HEY2_MA0649.1	7.21E-06
TFCP2_MA0145.3	6.97E-06
RUNX2_MA0511.1	6.82E-06
STAT1_MA0137.2	6.75E-06
ETS1_MA0098.3	6.71E-06
POU3F3_MA0788.1	6.32E-06
NFYA_MA0060.1	6.27E-06
SP2_MA0516.1	6.15E-06
ESRRB_MA0141.3	6.05E-06
BHLHE23_MA0817.1	6.00E-06
TBX2_MA0688.1	5.96E-06
TBX21_MA0690.1	5.87E-06
TEAD1_MA0090.1	5.77E-06
EWSR1.FLI1_MA0149.1	5.59E-06
NFE2L2_MA0150.1	4.87E-06
PBX1_MA0070.1	4.82E-06
FOS::JUND_MA1141.1	4.61E-06
ELF1_MA0473.1	4.60E-06
MSC_MA0665.1	4.41E-06
JDP2_MA0655.1	4.22E-06
TFEB_MA0692.1	4.07E-06
NFYB_MA0502.1	4.06E-06
LHX2_MA0700.1	4.00E-06
NHLH1_MA0048.1	3.85E-06
HOXC13_MA0907.1	3.76E-06
GCM2_MA0767.1	3.43E-06
HES7_MA0822.1	3.33E-06
NFKB1_MA0105.2	3.25E-06
GABPA_MA0062.1	3.21E-06
ONECUT3_MA0757.1	3.08E-06
JUN_MA0488.1	3.02E-06
HSF4_MA0771.1	3.00E-06
ETV4_MA0764.1	2.98E-06
PAX3_MA0780.1	2.89E-06
MEF2A_MA0052.2	2.84E-06
FOSL1::JUND(var.2)_MA1143.1	2.79E-06
MAFK_MA0496.1	2.79E-06
NRF1_MA0506.1	2.68E-06
ERG_MA0474.2	2.67E-06
FOSL1::JUN(var.2)_MA1129.1	2.67E-06
MYF6_MA0667.1	2.54E-06
HOXC11_MA0651.1	2.54E-06
HLF_MA0043.1	2.46E-06
MEF2A_MA0052.3	2.20E-06
ZBTB18_MA0698.1	2.04E-06
ZNF24_MA1124.1	2.00E-06
CEBPD_MA0836.1	1.92E-06
FOXK1_MA0852.2	1.91E-06
HES5_MA0821.1	1.91E-06
HNF1B_MA0153.1	1.90E-06
SMAD3_MA0795.1	1.89E-06
SPIC_MA0687.1	1.85E-06
CEBPB_MA0466.2	1.83E-06
EOMES_MA0800.1	1.80E-06
ERF_MA0760.1	1.76E-06
ESR2_MA0258.2	1.74E-06
ETV1_MA0761.1	1.71E-06
CREB1_MA0018.3	1.71E-06
MEF2B_MA0660.1	1.66E-06
AR_MA0007.2	1.58E-06
STAT1::STAT2_MA0517.1	1.49E-06
GRHL2_MA1105.1	1.47E-06
ZNF263_MA0528.1	1.45E-06
SIX1_MA1118.1	1.36E-06
GRHL1_MA0647.1	1.34E-06
BACH2_MA1101.1	1.15E-06
HSF1_MA0486.2	1.14E-06
TFAP2A_MA0003.2	1.07E-06
ELK3_MA0759.1	1.07E-06
MLXIPL_MA0664.1	1.06E-06
GCM1_MA0646.1	1.03E-06
ETV2_MA0762.1	9.82E-07
TEF_MA0843.1	9.72E-07
FOSB::JUNB(var.2)_MA1136.1	9.62E-07
GATA1::TAL1_MA0140.2	8.48E-07
CTCFL_MA1102.1	8.29E-07
HNF4A_MA0114.2	8.16E-07
RARA::RXRG_MA1149.1	7.53E-07
MAX::MYC_MA0059.1	7.47E-07
PAX7_MA0680.1	7.31E-07
RFX5_MA0510.1	7.24E-07
ETV3_MA0763.1	7.19E-07
PRDM1_MA0508.1	7.03E-07
MITF_MA0620.2	6.94E-07
ONECUT2_MA0756.1	6.92E-07
PAX5_MA0014.3	6.87E-07
ONECUT1_MA0679.1	6.02E-07
ZBTB7A_MA0750.2	5.96E-07
HSF1_MA0486.1	5.84E-07
JUNB(var.2)_MA1140.1	5.45E-07
RORA(var.2)_MA0072.1	5.29E-07
SRF_MA0083.2	5.04E-07
FOSL2::JUN(var.2)_MA1131.1	5.04E-07
JUND(var.2)_MA0492.1	4.69E-07
HSF2_MA0770.1	4.62E-07
ZBTB7C_MA0695.1	4.57E-07
NFE2_MA0841.1	4.38E-07
ELK4_MA0076.2	4.35E-07
GATA6_MA1104.1	4.19E-07
NR3C2_MA0727.1	3.84E-07
HINFP_MA0131.2	3.73E-07
FEV_MA0156.2	3.40E-07
HOXD12_MA0873.1	3.40E-07
TBX20_MA0689.1	3.12E-07
MAF::NFE2_MA0501.1	3.06E-07
